player_id,match_id,region,device,ping,score,kills,deaths,match_duration_seconds
P1137,M0834,SEA,Android,24,1464,9,9,446
P1139,M1765,SEA,Android,92,3077,21,13,396
P0708,M2106,Europe,iOS,80,1142,7,13,469
P0632,M1082,Europe,iOS,52,2141,13,7,427
P0295,M0944,North America,iOS,69,2283,13,13,468
P0678,M1003,India,Android,127,908,7,0,273
P0851,M0461,Europe,Android,60,1078,6,20,182
P0924,M2063,North America,Android,103,1684,9,11,427
P0854,M0498,North America,PC,129,806,4,14,342
P1011,M1178,India,iOS,64,2838,19,6,440
P1128,M0134,India,Android,20,2396,16,0,376
P1008,M2530,Europe,iOS,104,1390,9,9,399
P1057,M1016,North America,iOS,53,3387,22,7,443
P0145,M2550,SEA,iOS,81,941,4,7,378
P0470,M0533,SEA,Android,29,1216,6,10,407
P0680,M0022,India,iOS,71,752,1,14,435
P0781,M2710,North America,PC,38,1149,3,11,396
P0779,M1659,Europe,PC,35,1477,11,17,322
P0610,M2332,SEA,PC,124,250,0,10,439
P0267,M1666,North America,PC,43,2188,12,0,481
P1117,M2026,North America,iOS,58,624,2,11,355
P0123,M1866,North America,Android,65,1100,6,10,441
P0733,M2015,India,PC,69,3569,25,5,548
P0138,M0825,North America,Android,151,2348,13,0,466
P0766,M0889,SEA,Android,144,312,0,8,469
P0413,M0403,SEA,Android,122,1963,11,3,466
P0540,M1261,Latin America,iOS,23,928,7,7,347
P1069,M2727,Europe,iOS,109,1678,11,4,482
P0213,M0467,North America,Android,101,2220,12,7,453
P1139,M2984,Europe,PC,132,1453,7,5,379
P0513,M1959,Latin America,iOS,52,2267,15,0,400
P0062,M0738,India,iOS,78,2369,16,6,403
P0933,M0182,Europe,Android,104,1503,8,11,464
P0498,M2588,India,iOS,44,198,0,11,322
P0636,M0781,SEA,Android,106,866,4,15,300
P0579,M0146,SEA,iOS,85,2228,13,7,424
P1119,M0565,India,Android,20,2235,16,13,240
P0593,M0015,North America,iOS,69,1366,7,3,461
P0668,M1363,Europe,PC,95,1112,4,12,510
P0356,M0649,SEA,Android,60,2088,12,0,470
P0791,M2175,North America,iOS,87,1982,11,14,528
P0804,M2079,India,iOS,111,1882,9,7,315
P0466,M0381,North America,PC,36,606,3,7,403
P0159,M0884,Europe,PC,81,2646,15,13,410
P0744,M1832,Europe,Android,36,2728,17,13,450
P0180,M1258,Europe,Android,90,1725,11,5,373
P0789,M1185,Europe,Android,20,1020,7,15,328
P1056,M2200,North America,Android,134,2800,17,0,410
P0533,M0314,Latin America,PC,68,1777,8,15,348
P0253,M2937,SEA,iOS,109,2379,10,9,412
P0462,M1228,Europe,PC,80,2472,15,8,380
P0399,M0489,Europe,Android,82,942,4,0,473
P0413,M0835,India,Android,44,1218,6,7,387
P0108,M2878,Europe,iOS,79,1458,9,6,263
P0927,M2705,Latin America,PC,64,940,3,9,326
P0510,M0291,North America,iOS,116,1230,7,8,375
P0450,M1753,North America,Android,135,1898,12,8,297
P0724,M2824,India,PC,93,1513,10,2,317
P0074,M1350,India,iOS,20,3219,18,10,512
P0356,M0484,Latin America,PC,94,1537,9,17,374
P0990,M1304,India,Android,100,2681,16,16,455
P1151,M0623,India,Android,122,2045,11,12,489
P1165,M1201,Europe,Android,95,1489,12,0,185
P0994,M2762,SEA,Android,94,1420,7,19,529
P0992,M0636,Latin America,Android,54,1551,9,1,411
P0477,M1375,India,Android,43,1682,11,11,411
P0863,M1383,Europe,iOS,105,2105,12,0,455
P1183,M2538,India,Android,131,1665,8,5,446
P0857,M1099,North America,Android,108,2359,14,8,448
P0228,M1941,SEA,Android,66,1925,10,9,470
P0879,M1989,India,Android,44,1076,6,0,535
P0207,M0388,India,Android,101,2152,12,9,469
P0655,M2104,Latin America,iOS,87,1849,9,13,422
P0529,M2056,India,Android,103,2610,15,5,419
P0394,M0967,Europe,iOS,98,949,5,3,428
P0379,M2530,Latin America,iOS,131,1460,10,20,403
P0727,M1934,India,Android,119,1547,9,15,455
P0685,M0503,India,Android,40,2860,18,7,456
P0139,M1170,Latin America,Android,130,2627,17,22,438
P0759,M0209,India,iOS,25,1473,10,5,424
P0691,M0529,SEA,iOS,122,2178,14,8,420
P0128,M0286,North America,PC,98,2792,16,11,519
P0915,M1060,North America,PC,70,2974,17,12,356
P0201,M1474,North America,Android,45,2665,16,6,426
P0612,M0159,India,Android,76,1808,8,6,401
P0032,M0441,North America,PC,125,998,5,14,398
P0705,M0773,North America,iOS,60,2749,20,0,420
P0778,M2254,India,Android,113,2600,16,13,389
P1024,M0412,Europe,Android,30,1266,10,15,428
P0740,M0663,Europe,Android,143,1300,4,3,299
P0557,M0080,India,iOS,23,1465,9,3,267
P0418,M1684,SEA,Android,102,497,2,12,453
P0435,M0004,India,PC,115,2500,13,7,449
P1008,M2806,India,Android,42,1056,2,3,576
P0498,M0621,SEA,Android,49,1040,6,4,411
P0630,M1072,India,iOS,31,906,8,4,380
P0061,M0346,Europe,Android,107,1779,9,14,525
P0531,M0133,SEA,Android,40,2020,13,10,373
P0391,M1496,SEA,PC,99,1900,11,4,426
P0261,M0580,India,PC,82,3291,20,5,339
P0455,M2780,Latin America,Android,90,2186,15,15,295
P0421,M1663,SEA,Android,83,3346,20,5,416
P1036,M0644,Europe,iOS,100,1031,4,11,410
P1190,M0158,Latin America,Android,136,1094,6,8,449
P1096,M1688,India,iOS,88,217,0,11,246
P1123,M0992,North America,Android,20,1865,11,5,485
P0258,M1609,Latin America,PC,20,736,3,3,367
P0468,M2433,SEA,iOS,67,188,4,14,221
P0155,M0356,North America,PC,93,2156,13,17,452
P0608,M1391,Europe,Android,113,1618,9,0,375
P1153,M1567,India,Android,89,574,0,2,479
P0270,M2427,Latin America,Android,94,3873,26,6,472
P0437,M0108,Europe,PC,76,2226,11,4,604
P0467,M0136,Latin America,PC,62,3238,21,10,448
P1045,M1702,SEA,Android,93,334,0,12,493
P0238,M2893,India,PC,23,494,0,12,496
P0752,M0381,North America,iOS,20,2146,11,15,434
P0548,M1369,SEA,Android,47,2803,17,2,427
P0233,M2792,Europe,Android,73,500,0,17,456
P0797,M2808,Latin America,Android,104,1332,8,5,394
P0437,M2737,Europe,iOS,124,1050,7,19,461
P0153,M1044,India,Android,72,2472,15,8,499
P0508,M0549,SEA,iOS,106,2380,14,12,347
P0858,M2810,India,Android,20,1692,11,7,289
P0119,M1459,SEA,Android,90,484,1,15,448
P0717,M2944,SEA,PC,66,1408,8,10,372
P1084,M1285,Europe,PC,54,3348,20,9,427
P0846,M1113,SEA,PC,20,347,2,1,423
P0420,M0394,India,iOS,29,1738,8,7,239
P0963,M0464,India,Android,51,1943,10,9,465
P0901,M1073,SEA,Android,42,1077,6,7,434
P0179,M0210,SEA,iOS,58,2119,14,2,327
P0408,M1083,India,iOS,84,782,0,7,459
P0439,M0393,SEA,Android,125,73,0,9,260
P0754,M1929,North America,PC,117,1201,8,7,200
P0912,M0244,India,iOS,39,2407,13,9,469
P1187,M0326,India,iOS,109,745,4,15,285
P0154,M1205,India,iOS,93,444,0,3,401
P0269,M0586,India,PC,107,319,1,4,390
P0271,M2436,India,PC,57,871,5,2,431
P0411,M2893,India,Android,79,1712,10,6,293
P0885,M2505,India,Android,74,656,0,9,502
P0874,M2430,India,Android,64,44,0,12,290
P0522,M1438,North America,iOS,88,2045,12,10,361
P0086,M0738,North America,iOS,127,2742,17,0,510
P0286,M0868,North America,PC,82,1855,11,6,389
P0029,M2831,SEA,Android,81,1886,11,4,277
P0520,M2348,India,PC,117,500,0,15,510
P0650,M0918,Europe,iOS,114,1535,11,13,418
P0069,M2630,Europe,iOS,81,84,0,11,460
P0807,M1516,Europe,Android,66,1250,6,14,364
P0304,M1569,India,iOS,41,2669,14,8,279
P0427,M1915,SEA,PC,55,1899,11,8,364
P0721,M1148,Latin America,PC,92,1697,8,0,456
P1121,M2488,India,Android,102,992,6,14,337
P0982,M2595,India,Android,61,971,6,0,489
P0358,M0648,Europe,iOS,62,281,0,9,609
P0130,M1907,North America,iOS,74,1661,7,9,572
P1004,M2435,SEA,iOS,61,644,3,8,410
P0993,M0508,India,Android,83,1322,6,17,308
P0633,M2481,Europe,iOS,29,1569,9,7,423
P0498,M1342,SEA,iOS,131,958,5,8,404
P0959,M2526,SEA,iOS,111,1039,6,9,358
P0543,M2067,Latin America,Android,159,2893,16,11,374
P0186,M1871,India,iOS,74,927,6,2,357
P0522,M0261,India,Android,139,1257,7,8,644
P0100,M1859,Latin America,iOS,83,945,3,15,436
P0802,M1445,Latin America,iOS,115,2731,16,0,517
P0173,M0286,India,Android,74,263,0,6,395
P0127,M2823,India,iOS,20,1517,8,5,455
P0300,M2717,Europe,iOS,79,468,0,0,496
P0818,M0789,Europe,PC,106,1670,12,6,494
P0387,M0612,Europe,PC,72,2318,15,15,473
P0698,M2395,India,Android,70,2241,13,8,453
P0814,M2247,SEA,Android,20,2187,15,0,420
P0126,M2278,Europe,Android,103,1173,6,9,472
P0013,M0165,Europe,Android,42,2230,12,1,503
P0459,M0216,North America,PC,88,1405,8,11,432
P1076,M0609,Europe,iOS,143,835,3,0,324
P0926,M1079,India,Android,89,1022,7,8,533
P0297,M1831,North America,PC,20,2398,16,4,463
P0214,M0128,India,iOS,117,1249,7,2,456
P0730,M2788,India,PC,95,1578,10,8,327
P0279,M2912,Europe,Android,115,2411,17,0,186
P0602,M0461,North America,Android,38,407,0,13,502
P1113,M2908,North America,Android,125,225,0,5,478
P0118,M0646,North America,Android,83,717,5,3,327
P0114,M2079,Latin America,Android,150,754,5,3,275
P0905,M2261,India,Android,37,2027,11,2,367
P0302,M1952,India,PC,96,1279,8,6,368
P0651,M0860,India,Android,139,1543,8,6,483
P0368,M1121,Europe,Android,60,3058,19,10,437
P0008,M1134,Europe,iOS,32,1708,11,4,396
P0117,M2348,Latin America,Android,76,1874,10,9,497
P0324,M2787,Latin America,Android,119,1704,12,9,366
P0228,M0049,SEA,PC,79,803,2,16,470
P0871,M2836,India,iOS,52,2128,13,10,367
P1168,M0777,Europe,PC,63,2112,13,0,302
P1094,M2929,India,Android,114,1630,10,11,388
P0608,M2024,India,Android,45,3057,21,4,472
P0067,M1716,India,PC,180,2466,14,1,330
P0814,M2241,India,PC,29,98,0,4,380
P0586,M1025,India,iOS,98,1442,8,12,395
P0726,M0794,India,Android,78,1080,8,8,261
P0502,M1156,SEA,Android,115,2088,12,2,452
P0422,M2785,Europe,iOS,84,2113,12,8,369
P0204,M1303,North America,PC,88,1416,5,0,489
P0044,M0280,Europe,Android,52,961,6,15,397
P0902,M0828,SEA,Android,82,1898,11,10,492
P0222,M0811,North America,Android,79,1800,10,3,464
P0060,M0456,SEA,iOS,66,3085,16,8,453
P0596,M2902,North America,Android,76,2717,15,9,439
P0200,M2788,India,iOS,67,1188,5,3,362
P0611,M1537,India,iOS,91,833,3,9,352
P0145,M1763,North America,Android,101,1001,4,14,378
P1105,M0264,India,PC,69,924,6,3,360
P0369,M0570,North America,Android,154,2126,13,11,458
P0706,M1966,India,PC,150,1539,10,7,280
P1043,M1611,India,Android,73,1312,10,8,340
P0369,M1881,SEA,Android,117,1554,8,8,376
P0359,M1566,Latin America,iOS,125,1565,7,11,468
P0023,M0279,Europe,Android,83,1312,9,4,420
P1111,M1837,North America,PC,156,1932,11,8,332
P0900,M1945,SEA,Android,78,2715,19,3,317
P0853,M2292,India,Android,97,1320,5,1,518
P0833,M0119,North America,Android,103,2568,16,2,415
P0288,M1458,SEA,Android,20,2021,11,13,446
P0992,M0237,SEA,Android,20,2298,14,11,458
P0738,M2757,India,Android,35,1878,15,8,470
P0147,M0595,Europe,iOS,96,1887,10,13,518
P0115,M2069,North America,Android,122,642,0,10,497
P1138,M0864,North America,Android,62,1159,5,5,625
P0653,M2561,India,iOS,125,1356,7,17,449
P0481,M0451,North America,Android,69,1914,10,10,529
P0993,M1256,SEA,iOS,20,2759,17,13,453
P0049,M0450,North America,iOS,89,2150,15,3,433
P0685,M0026,India,iOS,131,2802,15,13,641
P0412,M2268,SEA,Android,132,824,4,7,484
P0469,M1666,Europe,iOS,85,1450,11,2,417
P0895,M0892,SEA,PC,168,1110,4,6,545
P0418,M0322,India,iOS,75,2203,14,2,349
P1005,M0291,Latin America,iOS,70,1065,5,8,460
P1070,M2155,Europe,Android,119,1368,6,0,474
P0806,M2268,Latin America,Android,64,1547,11,3,287
P0578,M1213,Europe,iOS,49,2280,15,9,384
P0933,M0304,India,iOS,20,1346,6,3,230
P0018,M2202,North America,iOS,20,674,6,11,360
P0444,M1559,SEA,Android,79,2481,16,18,428
P1182,M0705,India,Android,45,1490,10,6,338
P0225,M1207,India,PC,108,2322,13,3,425
P0814,M1496,India,iOS,98,2280,14,5,481
P0791,M2811,Europe,iOS,35,872,6,0,499
P0381,M2510,India,Android,103,1267,5,5,363
P0926,M1878,Latin America,Android,20,2198,13,3,446
P0740,M1917,Europe,Android,76,1023,4,9,565
P0968,M1529,Europe,Android,106,1561,9,12,530
P1125,M0882,Europe,iOS,99,588,0,5,410
P0286,M0787,SEA,Android,111,2602,15,15,517
P0388,M1188,India,Android,80,2206,14,8,437
P0571,M2480,Europe,iOS,146,2774,20,6,402
P0866,M0584,India,Android,88,1370,6,13,506
P0765,M2679,Europe,Android,102,974,4,0,350
P0682,M2852,SEA,iOS,150,1599,9,5,482
P0964,M0698,Europe,Android,66,1400,7,0,411
P0163,M1483,India,PC,138,2394,12,8,539
P0701,M2795,Europe,Android,102,833,0,10,455
P0706,M1490,North America,iOS,128,1328,5,3,450
P0453,M0595,North America,iOS,129,2069,12,12,447
P1106,M2396,Europe,PC,51,1851,12,11,592
P1093,M2780,SEA,iOS,87,1241,6,15,503
P0679,M0738,SEA,PC,108,1963,14,1,404
P0680,M1342,SEA,iOS,138,1409,9,12,365
P0080,M1024,North America,PC,131,1473,6,7,436
P0891,M2014,India,iOS,122,1772,9,8,341
P0652,M0097,SEA,PC,46,1936,13,7,373
P0027,M1405,North America,Android,20,1643,11,19,378
P0036,M2581,India,iOS,95,1814,11,3,373
P0302,M1066,SEA,Android,70,1154,7,8,305
P1078,M0009,India,iOS,92,1377,7,10,534
P0309,M2120,Europe,Android,55,2959,17,6,456
P0213,M0619,India,iOS,43,2457,17,0,400
P0681,M2646,North America,PC,49,2171,12,8,496
P0736,M0302,SEA,Android,20,2048,11,7,514
P0341,M0486,North America,PC,82,1628,9,2,476
P0122,M0779,India,Android,86,1470,11,14,333
P0287,M2060,Europe,PC,34,3044,21,1,406
P0969,M2539,Europe,iOS,128,1374,4,6,387
P0730,M0184,Europe,Android,63,2680,16,13,277
P0027,M0135,North America,iOS,117,1378,7,0,451
P0306,M1304,Latin America,Android,61,2176,15,4,480
P0069,M1396,India,PC,113,3182,20,12,274
P0910,M2051,Europe,iOS,96,3728,25,10,385
P0653,M1315,India,Android,80,2642,16,9,460
P0747,M1141,SEA,PC,118,1605,9,4,538
P0240,M2243,SEA,Android,113,2100,13,4,399
P1011,M1231,Europe,PC,31,3212,20,0,428
P1057,M0651,India,Android,107,1421,10,5,377
P0371,M0987,Europe,Android,75,2331,14,2,443
P1060,M2943,Europe,iOS,45,1269,4,12,619
P0675,M1260,SEA,PC,118,2711,17,8,438
P0711,M0173,Latin America,iOS,114,1277,6,4,336
P0396,M0465,India,PC,84,1053,5,15,439
P0145,M2022,India,iOS,35,874,5,23,470
P0693,M0623,Europe,PC,20,172,0,4,465
P0788,M0034,Latin America,Android,111,1075,5,9,377
P0646,M2395,Latin America,PC,68,2110,13,8,444
P0236,M1009,India,Android,82,1340,6,1,366
P1112,M1629,SEA,Android,81,2414,16,5,307
P0314,M2791,Europe,PC,20,1365,7,17,463
P0995,M0835,India,iOS,87,747,3,12,566
P0247,M1831,North America,PC,69,2099,14,9,491
P0160,M0631,Latin America,Android,129,766,5,0,504
P0476,M2323,Europe,Android,87,1807,10,6,521
P0539,M2094,India,iOS,20,648,2,11,513
P0711,M1423,Europe,Android,79,1643,11,17,429
P0563,M2369,India,Android,78,3169,18,4,292
P0362,M0553,Europe,Android,75,1553,10,9,373
P0817,M2756,India,PC,64,1308,8,9,543
P0238,M0455,India,Android,163,2249,13,16,530
P0086,M1338,SEA,Android,104,2714,14,6,606
P0647,M2170,North America,PC,105,264,0,13,382
P0270,M0342,Europe,iOS,117,2331,15,5,429
P0959,M2757,North America,PC,53,573,2,15,256
P0386,M1171,India,Android,76,592,1,3,478
P0072,M2028,SEA,iOS,50,2083,12,8,507
P0714,M1969,SEA,iOS,96,1195,7,9,348
P1102,M0997,SEA,iOS,64,960,4,3,499
P0879,M2831,SEA,PC,166,1464,8,13,366
P0675,M0171,North America,Android,110,1877,12,18,440
P0487,M1918,North America,iOS,35,649,4,7,521
P0968,M0372,India,Android,39,1352,6,5,438
P0145,M2893,India,iOS,143,1115,6,12,519
P0962,M1812,Latin America,iOS,107,2199,13,2,581
P0886,M1094,India,iOS,88,1637,10,1,480
P1189,M0242,North America,PC,51,2297,14,4,442
P0584,M2100,Europe,Android,78,2327,13,9,475
P0372,M2768,Latin America,iOS,61,969,5,8,473
P1177,M0286,SEA,iOS,72,3931,21,7,462
P0981,M0842,SEA,Android,89,1712,9,16,486
P1177,M2031,India,iOS,29,956,5,21,371
P0617,M0493,India,PC,49,2414,14,4,464
P0856,M2757,India,Android,107,2388,14,12,505
P0146,M2914,Europe,Android,55,1772,12,3,470
P0329,M1696,India,Android,30,711,5,6,341
P0599,M0567,North America,PC,115,2540,16,1,410
P0682,M2112,North America,iOS,96,2500,16,10,395
P0042,M0827,India,Android,115,1407,9,11,423
P0556,M1058,North America,iOS,21,2755,16,15,598
P1034,M1438,India,PC,64,1257,9,11,346
P0566,M1799,India,PC,111,2285,13,13,381
P0231,M2212,India,Android,50,1974,11,10,440
P0660,M1813,North America,Android,67,1879,9,0,511
P0832,M0079,India,Android,91,1052,7,8,349
P0226,M1021,North America,Android,117,1262,9,6,200
P1059,M2321,SEA,Android,53,219,3,12,266
P0678,M1682,SEA,iOS,32,2894,17,4,375
P0151,M0944,SEA,iOS,59,1985,11,5,402
P1041,M2565,India,iOS,112,2132,10,10,384
P0040,M0860,North America,PC,62,2252,14,2,458
P0627,M1318,India,Android,119,2387,15,7,506
P1021,M0225,India,iOS,100,2377,14,12,433
P0060,M2634,North America,iOS,81,1531,9,0,421
P0648,M1534,India,Android,139,430,0,6,333
P0340,M2582,SEA,iOS,82,1723,11,10,440
P0830,M2772,North America,iOS,44,221,0,4,392
P0532,M0967,India,iOS,81,667,4,10,437
P0179,M1010,Europe,iOS,79,215,0,0,399
P0037,M0106,Latin America,iOS,145,1469,8,9,342
P0566,M2368,India,Android,42,1086,6,0,418
P0952,M2900,SEA,Android,20,2156,13,3,466
P0515,M2727,Latin America,iOS,104,2292,16,0,362
P0239,M2249,Europe,iOS,84,1238,9,0,459
P0686,M2449,North America,iOS,80,2703,15,8,429
P0733,M1934,North America,iOS,145,2322,12,9,645
P0723,M2122,Latin America,PC,57,1831,10,1,392
P0972,M2296,Europe,PC,118,1806,10,8,578
P1118,M0461,North America,iOS,147,1714,9,0,376
P0358,M2386,India,iOS,83,1079,4,6,438
P0536,M0676,SEA,iOS,129,3083,22,14,459
P0776,M1660,SEA,iOS,20,2364,13,1,507
P0514,M1543,North America,iOS,110,2678,15,12,380
P0020,M1449,North America,Android,70,1284,8,1,427
P0718,M1161,North America,Android,71,2775,16,6,500
P0707,M2167,Latin America,PC,99,3109,19,7,432
P0073,M0984,North America,Android,95,2486,16,9,369
P0318,M0390,Europe,Android,47,1383,10,6,361
P0302,M0678,Europe,Android,125,1469,9,15,296
P0423,M0480,SEA,PC,86,1229,7,12,495
P0410,M1682,North America,iOS,53,1381,6,16,398
P0928,M1247,Europe,Android,72,367,0,12,502
P0856,M0091,North America,Android,128,1763,10,1,477
P0516,M2577,India,Android,92,2639,15,11,459
P1066,M1251,North America,Android,33,2014,12,8,268
P0300,M1260,India,Android,87,1681,11,18,415
P0045,M1038,North America,PC,167,3163,20,10,527
P0002,M0513,SEA,iOS,131,2264,15,20,531
P0421,M1144,India,iOS,53,2536,14,7,537
P0711,M0143,India,Android,55,596,0,12,430
P0097,M0460,SEA,iOS,150,854,4,13,369
P0694,M2263,North America,PC,75,2221,14,13,470
P0680,M1545,North America,Android,138,1667,11,1,526
P0121,M2271,Latin America,PC,81,3044,18,6,301
P0570,M2174,North America,Android,147,2170,13,9,477
P0135,M2151,India,PC,24,1322,7,9,452
P0190,M2254,SEA,Android,20,2151,12,10,430
P0572,M0981,India,Android,99,963,5,8,468
P0351,M1892,Latin America,PC,127,1172,2,10,441
P0742,M0235,North America,PC,74,2501,17,4,314
P0826,M2783,Latin America,Android,71,1094,5,4,348
P0991,M0461,Europe,iOS,82,1981,12,11,397
P0328,M0620,SEA,Android,104,2068,12,9,455
P0307,M2394,Europe,Android,88,2038,11,11,530
P0095,M0840,Europe,PC,134,1627,10,5,390
P0441,M1635,India,Android,67,859,0,11,359
P0679,M1411,India,Android,106,1520,8,4,523
P1034,M1928,Europe,iOS,64,262,2,9,408
P0635,M1272,India,Android,112,2814,17,12,414
P0806,M2119,India,iOS,48,2010,13,13,453
P0334,M1691,India,iOS,143,645,0,3,450
P0698,M2997,SEA,Android,66,1758,7,5,562
P0561,M2138,SEA,PC,78,558,0,2,469
P0615,M0428,Europe,iOS,85,2303,15,0,444
P1046,M0401,India,Android,54,1398,6,6,395
P0551,M2643,Europe,PC,72,2416,15,14,395
P0214,M0915,Europe,iOS,155,1711,11,2,438
P0327,M2768,India,iOS,74,2124,13,7,442
P0949,M1758,Europe,Android,175,1854,10,0,568
P0958,M0280,India,Android,20,458,1,6,360
P0892,M0274,North America,Android,137,419,2,11,451
P0056,M1780,Latin America,PC,44,2004,11,10,553
P1188,M0822,SEA,Android,90,536,3,9,452
P1189,M1566,India,Android,65,935,5,8,518
P0447,M0262,SEA,iOS,24,380,0,2,306
P0076,M2971,Latin America,PC,71,1886,13,11,445
P0802,M0286,SEA,Android,164,970,3,0,336
P0362,M1615,India,iOS,93,1497,8,4,400
P0227,M2789,India,iOS,30,1952,10,12,473
P1074,M0665,India,Android,87,2159,12,13,480
P0722,M1440,Latin America,iOS,104,1680,10,6,538
P0985,M2540,SEA,PC,163,1332,9,7,262
P0628,M0780,India,Android,57,612,0,4,499
P0589,M1346,North America,PC,45,1203,7,6,461
P0888,M2111,India,iOS,56,2125,11,9,294
P1058,M0543,SEA,iOS,67,2308,14,9,479
P0523,M1722,India,iOS,89,1773,12,13,330
P1056,M2769,Europe,iOS,57,1040,5,13,468
P0524,M0560,India,Android,68,3525,23,15,441
P0707,M1976,Europe,Android,85,2257,11,11,448
P0587,M1556,SEA,PC,32,1800,10,8,394
P0425,M2595,SEA,iOS,37,2165,13,7,368
P0734,M0458,Europe,iOS,55,1698,10,18,362
P0170,M1531,Europe,Android,74,457,1,3,417
P0001,M1587,India,Android,100,1560,9,9,491
P0093,M1247,India,iOS,88,2347,14,10,489
P0045,M0214,SEA,Android,76,2026,12,3,434
P0039,M0747,India,Android,20,2694,18,1,407
P0304,M0885,North America,iOS,115,2449,15,8,508
P0926,M0383,Europe,iOS,53,2292,14,19,384
P1137,M1480,India,iOS,99,2302,14,10,464
P0117,M2653,India,Android,131,2541,14,0,391
P1098,M2253,India,Android,119,2004,13,3,368
P0313,M0341,Europe,Android,106,2338,14,3,368
P0369,M0043,SEA,Android,92,741,4,13,402
P0492,M0768,Latin America,Android,74,2042,11,2,530
P0968,M2604,Europe,iOS,149,2863,18,0,389
P0505,M0790,North America,Android,60,1989,12,3,536
P0550,M1592,North America,Android,32,766,2,1,456
P0874,M2663,India,PC,101,1753,9,10,338
P0033,M2271,Latin America,iOS,91,801,3,5,360
P1127,M2570,India,iOS,93,489,1,19,426
P1120,M0469,Latin America,Android,44,2846,16,12,589
P0914,M1770,North America,Android,20,78,0,9,288
P0301,M2141,Latin America,Android,67,1956,10,12,399
P0018,M1882,Europe,iOS,96,1842,9,14,409
P0025,M2561,SEA,PC,94,4307,29,2,463
P0387,M0177,North America,PC,129,2457,16,11,492
P0033,M2520,India,Android,50,1631,9,11,438
P0645,M2190,Latin America,iOS,131,1762,11,10,417
P0834,M1968,India,PC,119,580,5,12,273
P0852,M0729,Europe,iOS,63,1269,7,12,509
P0859,M1296,India,Android,144,696,2,2,405
P0876,M0586,North America,Android,20,1595,7,3,400
P0613,M2745,SEA,Android,94,1136,5,4,555
P0298,M1960,SEA,Android,56,1782,10,10,522
P0934,M2240,India,Android,80,1124,5,5,507
P0907,M0491,SEA,Android,88,1739,11,8,229
P0348,M0007,Europe,Android,83,730,4,23,376
P0652,M0561,India,Android,20,2673,16,10,384
P0895,M1727,Europe,PC,63,2267,13,3,501
P0184,M2633,Latin America,Android,92,1572,9,5,509
